COLLEGE,INCOME,OVERAGE,LEFTOVER,HOUSE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,PROFITABILITY,LEAVE
one,56009,95,35,591827,358,4,2,very_unsat,very_high,considering,6.68,LEAVE
one,90976,83,21,950415,298,5,6,avg,little,never_thought,5.94,STAY
zero,129506,227,44,336566,458,22,2,very_unsat,high,no,4.39,LEAVE
zero,98739,162,0,427079,335,29,15,very_unsat,very_little,actively_looking_into_it,4.86,LEAVE
zero,138481,167,0,185712,646,22,9,very_sat,little,no,3.72,LEAVE
zero,58585,64,80,351055,371,4,2,very_sat,very_little,considering,6.06,STAY
zero,45230,0,34,150603,204,0,2,very_sat,avg,actively_looking_into_it,4.96,LEAVE
zero,155361,252,0,228580,600,12,6,very_unsat,very_little,considering,3.62,STAY
zero,60025,218,11,221790,392,15,5,avg,very_little,actively_looking_into_it,3.51,LEAVE
one,132481,197,17,716801,741,28,4,sat,little,considering,3.43,STAY
zero,45232,73,0,214357,638,5,14,unsat,very_high,perhaps,2.91,LEAVE
one,136279,220,0,196694,444,15,8,sat,avg,never_thought,2.55,LEAVE
one,20542,38,0,738754,202,3,4,very_unsat,very_high,considering,5.36,STAY
zero,38153,215,54,656193,158,24,2,sat,little,considering,7.23,STAY
one,143803,53,9,257499,525,1,5,very_unsat,little,no,4.56,STAY
one,25603,0,18,284537,165,1,5,avg,very_little,actively_looking_into_it,5.15,LEAVE
one,130426,0,6,965638,438,1,6,very_unsat,very_little,no,3.38,STAY
zero,132201,0,12,185193,716,0,5,very_sat,little,actively_looking_into_it,3.43,STAY
zero,38079,0,26,527787,133,0,2,very_sat,very_high,considering,5.07,LEAVE
one,133356,0,10,743236,523,1,5,very_sat,little,perhaps,3.48,LEAVE
zero,61748,0,72,710269,387,0,2,very_unsat,very_little,considering,5.48,STAY
one,52280,0,10,287447,277,0,5,very_unsat,avg,actively_looking_into_it,3.82,LEAVE
zero,61687,49,18,282918,873,5,6,very_unsat,very_high,no,4.59,LEAVE
one,143283,40,43,489294,836,4,1,very_unsat,little,considering,5.24,STAY
zero,125211,0,6,532494,733,0,6,very_unsat,high,actively_looking_into_it,3.58,LEAVE
one,140389,61,0,881409,780,20,14,unsat,little,actively_looking_into_it,1.20,LEAVE
zero,23223,201,14,436465,196,26,5,very_sat,little,no,3.26,LEAVE
one,20764,0,89,756157,198,1,14,avg,little,no,5.98,STAY
zero,45066,0,0,834790,187,0,13,very_unsat,very_high,considering,5.56,STAY
one,20819,0,75,970991,147,0,1,very_sat,little,considering,6.33,STAY
zero,35068,231,0,166758,150,22,14,sat,little,never_thought,3.24,LEAVE
zero,62507,0,46,971761,303,0,1,unsat,very_little,perhaps,5.40,LEAVE
one,55798,242,29,825405,293,20,1,unsat,very_little,actively_looking_into_it,5.67,STAY
one,143109,0,24,218229,525,1,4,very_sat,very_high,considering,4.04,LEAVE
one,119108,63,5,956673,514,4,1,very_sat,very_little,considering,0.74,LEAVE
one,43883,156,0,893605,181,18,10,avg,little,considering,6.66,STAY
one,70467,195,48,189699,281,13,5,very_unsat,high,no,4.13,LEAVE
one,133815,64,17,871863,229,4,6,very_unsat,high,no,4.38,STAY
one,54062,54,29,841258,351,4,2,very_sat,avg,never_thought,6.15,STAY
zero,34997,80,15,533210,153,5,5,very_sat,little,no,4.92,STAY
zero,32100,159,12,259802,162,21,6,very_unsat,very_high,perhaps,2.74,LEAVE
zero,97670,179,24,627372,470,26,4,sat,very_high,no,5.99,STAY
one,42133,37,45,552128,232,0,2,very_unsat,little,considering,7.09,STAY
zero,47492,57,44,437012,168,16,2,unsat,little,never_thought,5.36,LEAVE
zero,94300,149,24,766072,341,1,6,unsat,very_little,no,7.17,STAY
zero,83395,52,0,712492,317,4,9,very_sat,little,no,7.38,STAY
zero,69678,69,0,755977,279,23,14,very_sat,very_little,considering,6.68,STAY
zero,34615,201,13,234161,302,15,6,very_unsat,little,actively_looking_into_it,4.18,LEAVE
one,23076,0,63,767302,199,1,1,very_unsat,little,considering,4.20,LEAVE
one,90550,59,51,245087,283,4,1,sat,very_little,never_thought,7.02,LEAVE
zero,122316,154,40,166097,588,10,2,very_sat,very_high,no,1.96,LEAVE
one,41079,45,0,205546,186,5,15,unsat,little,perhaps,3.71,LEAVE
one,148106,227,65,950485,886,15,1,very_unsat,little,never_thought,4.66,LEAVE
one,65173,226,7,298980,244,1,11,very_unsat,very_little,actively_looking_into_it,2.72,LEAVE
zero,130531,0,8,245692,690,0,4,very_unsat,little,considering,4.01,STAY
zero,146714,0,30,774287,616,0,1,very_sat,very_high,actively_looking_into_it,5.80,LEAVE
one,77458,140,0,851318,326,16,15,very_unsat,very_little,actively_looking_into_it,5.44,STAY
one,24786,62,49,939171,168,3,2,very_sat,very_little,actively_looking_into_it,6.40,STAY
zero,148595,60,0,873907,688,3,14,very_unsat,very_high,never_thought,4.22,LEAVE
zero,48316,185,9,293874,293,14,5,avg,little,considering,3.90,LEAVE
zero,71256,222,25,354854,253,10,1,very_unsat,avg,considering,2.86,LEAVE
zero,124475,190,23,994332,583,22,5,very_unsat,very_little,never_thought,2.62,LEAVE
zero,92351,0,53,487531,306,0,1,very_sat,little,no,5.04,LEAVE
zero,144320,49,15,217760,730,4,4,very_sat,little,considering,3.97,STAY
zero,48194,0,16,237258,180,0,4,sat,little,actively_looking_into_it,2.92,LEAVE
one,116335,219,0,272778,469,13,15,unsat,high,no,4.50,STAY
zero,89361,194,19,429523,258,26,14,very_sat,very_high,actively_looking_into_it,2.03,STAY
zero,77379,248,76,335156,182,27,2,very_unsat,little,considering,4.83,LEAVE
zero,75623,200,0,272428,148,27,12,very_unsat,little,actively_looking_into_it,3.86,LEAVE
one,131177,56,69,373213,595,3,1,very_sat,very_little,considering,7.20,LEAVE
one,149401,57,0,439912,600,5,10,very_sat,very_high,considering,5.06,STAY
zero,76754,24,17,302080,433,3,5,unsat,very_high,actively_looking_into_it,5.42,STAY
one,145996,0,64,157439,861,1,2,unsat,avg,considering,4.80,LEAVE
one,74225,43,0,906966,273,3,15,very_sat,little,never_thought,5.85,STAY
one,65442,0,6,638067,373,0,4,avg,very_little,no,6.50,STAY
one,123487,198,0,861064,251,13,10,avg,avg,actively_looking_into_it,3.34,LEAVE
one,145198,223,0,654276,648,11,12,very_unsat,very_high,never_thought,2.89,STAY
zero,40473,53,82,208503,132,4,2,avg,very_high,actively_looking_into_it,7.06,STAY
zero,94925,182,22,196116,340,21,6,avg,little,actively_looking_into_it,4.18,LEAVE
one,78804,253,0,882454,333,16,12,avg,high,actively_looking_into_it,7.79,STAY
one,90755,0,39,289045,307,0,2,very_sat,little,no,6.92,LEAVE
one,127249,191,0,392762,612,20,12,unsat,very_little,considering,3.26,LEAVE
one,22207,151,71,230270,225,29,1,unsat,little,never_thought,3.26,LEAVE
one,141037,0,44,261043,457,0,1,unsat,high,considering,6.76,STAY
zero,29572,249,0,270390,165,22,12,very_sat,very_high,actively_looking_into_it,3.49,LEAVE
zero,84435,253,13,952817,343,16,5,very_unsat,little,considering,6.32,STAY
one,106370,191,0,264337,481,14,12,sat,little,actively_looking_into_it,3.38,LEAVE
one,27987,0,0,390632,170,3,13,very_unsat,very_little,actively_looking_into_it,2.93,LEAVE
zero,95682,0,53,333911,251,0,14,very_sat,very_little,considering,6.02,LEAVE
zero,140891,210,83,911022,654,14,2,very_unsat,little,considering,3.15,LEAVE
one,126884,50,0,220492,522,5,9,very_sat,little,never_thought,4.00,STAY
one,79888,72,0,936987,373,4,10,very_unsat,very_little,no,5.43,STAY
one,75656,0,87,829822,270,1,15,very_unsat,very_high,actively_looking_into_it,5.12,LEAVE
one,115783,0,0,736325,502,1,12,avg,very_little,considering,3.82,LEAVE
one,82305,140,23,765090,390,15,5,unsat,little,considering,8.07,STAY
one,20131,0,85,293442,151,0,2,very_sat,high,actively_looking_into_it,5.27,STAY
zero,131371,67,0,561254,736,4,12,avg,high,actively_looking_into_it,3.13,STAY
one,136882,66,8,842739,746,4,6,unsat,very_little,considering,3.65,STAY
one,41508,0,28,620228,247,0,11,sat,little,actively_looking_into_it,4.84,LEAVE
one,122093,40,12,227697,425,5,4,very_sat,little,perhaps,3.57,LEAVE
zero,151663,201,0,162940,479,19,9,very_unsat,little,considering,4.28,LEAVE
one,80296,212,26,274098,379,27,5,very_unsat,very_little,considering,3.56,LEAVE
zero,55141,0,0,162685,293,0,15,unsat,little,never_thought,5.12,STAY
zero,67701,82,0,288216,411,4,1,very_sat,little,considering,5.28,STAY
zero,45335,0,21,581794,206,0,12,very_unsat,little,no,3.40,STAY
zero,95710,202,31,707631,263,21,2,avg,avg,considering,6.90,STAY
zero,83694,52,0,318603,295,5,10,very_sat,very_high,actively_looking_into_it,3.82,STAY
one,102927,212,19,204996,855,5,4,very_unsat,very_high,actively_looking_into_it,2.17,LEAVE
one,142262,148,0,266018,785,21,10,very_sat,little,considering,3.09,LEAVE
one,148719,193,13,575100,885,13,6,very_sat,little,no,2.62,LEAVE
zero,55928,200,6,928665,324,1,6,sat,very_high,no,7.00,STAY
one,41841,54,0,158803,232,3,14,very_sat,little,considering,4.46,STAY
one,29555,209,10,218685,182,29,6,sat,avg,actively_looking_into_it,5.02,LEAVE
zero,141042,64,6,650462,735,20,5,very_sat,very_high,considering,2.85,LEAVE
zero,131141,0,35,406708,409,0,1,unsat,little,no,6.46,STAY
zero,48238,150,0,578079,148,18,14,very_unsat,very_high,actively_looking_into_it,2.58,LEAVE
zero,37129,173,82,159555,149,12,2,very_unsat,high,no,3.31,LEAVE
one,56655,53,81,474052,280,4,1,very_unsat,little,actively_looking_into_it,7.68,STAY
one,109276,63,24,172286,616,3,4,avg,very_high,never_thought,2.00,LEAVE
zero,150053,191,0,242317,495,15,12,very_unsat,very_high,no,2.88,STAY
zero,87910,190,0,201035,391,15,13,unsat,very_little,actively_looking_into_it,3.86,LEAVE
zero,44114,212,5,956309,231,19,2,very_unsat,little,considering,5.76,STAY
one,80090,76,0,333674,276,4,14,unsat,very_little,considering,3.48,LEAVE
zero,110556,66,0,256668,413,5,8,unsat,very_high,considering,4.06,STAY
one,146683,0,10,232185,771,0,9,very_sat,little,no,2.76,STAY
one,43954,185,0,472832,140,29,13,avg,very_high,considering,2.45,STAY
zero,49490,140,22,273474,188,13,1,sat,very_high,actively_looking_into_it,3.43,LEAVE
one,79577,48,44,834095,368,3,1,very_unsat,very_little,no,3.51,LEAVE
zero,68330,201,76,625366,360,23,1,very_unsat,little,considering,4.80,LEAVE
one,45387,42,34,515492,179,4,2,very_sat,very_little,actively_looking_into_it,6.64,STAY
one,77352,0,0,290521,822,1,14,unsat,little,considering,2.73,LEAVE
one,153227,33,0,892783,760,5,11,sat,very_little,actively_looking_into_it,3.80,LEAVE
one,20288,0,13,244613,160,0,6,avg,little,considering,3.20,STAY
one,108523,0,14,275521,854,1,2,sat,little,considering,3.11,STAY
one,45148,71,9,829309,151,5,6,very_sat,very_high,considering,6.14,STAY
one,109276,0,0,314617,183,0,11,very_sat,avg,actively_looking_into_it,3.44,LEAVE
zero,33991,0,16,408668,214,11,4,very_sat,little,considering,4.93,STAY
one,24670,0,69,317169,164,1,1,very_unsat,very_high,never_thought,4.72,STAY
zero,132883,64,0,244138,752,4,8,very_sat,little,never_thought,3.29,STAY
zero,142692,31,18,200974,872,4,5,very_unsat,very_high,no,3.33,LEAVE
zero,39462,215,0,246315,238,28,10,very_unsat,avg,actively_looking_into_it,3.59,STAY
one,24271,0,6,766895,201,1,4,very_sat,very_high,actively_looking_into_it,5.36,STAY
one,36932,0,0,558843,202,1,14,very_unsat,high,no,4.82,STAY
one,47988,239,12,896081,163,24,5,very_unsat,very_little,considering,7.31,STAY
zero,143150,202,28,447091,827,22,1,very_unsat,little,actively_looking_into_it,2.75,LEAVE
zero,149651,184,11,325571,571,27,4,very_sat,little,actively_looking_into_it,4.69,LEAVE
zero,121317,165,15,293523,506,23,4,unsat,little,actively_looking_into_it,3.28,LEAVE
zero,24117,0,44,204864,184,1,1,unsat,very_little,actively_looking_into_it,7.07,LEAVE
one,21975,194,8,541922,213,17,5,very_unsat,very_high,considering,3.40,LEAVE
zero,142096,37,0,517128,651,5,12,unsat,very_high,actively_looking_into_it,5.05,LEAVE
one,26431,0,0,436519,159,1,9,very_unsat,little,actively_looking_into_it,2.84,STAY
zero,93227,157,15,556472,284,15,6,very_unsat,very_high,considering,4.30,LEAVE
one,54475,199,0,880183,311,22,13,very_sat,little,actively_looking_into_it,7.21,LEAVE
zero,24361,0,10,162606,184,1,6,avg,little,considering,3.53,LEAVE
one,126259,0,0,176495,510,1,13,very_sat,little,considering,3.74,STAY
one,26113,0,35,550869,171,0,2,very_unsat,little,no,5.53,STAY
one,21069,236,18,266201,224,24,10,avg,little,actively_looking_into_it,3.42,LEAVE
zero,87967,65,69,197413,393,3,1,unsat,very_high,no,5.69,LEAVE
zero,64630,53,0,282477,302,5,14,very_sat,very_little,considering,2.29,LEAVE
zero,106270,85,49,176448,596,5,2,avg,very_little,actively_looking_into_it,6.57,LEAVE
one,29362,152,8,294763,186,23,6,very_unsat,very_high,considering,2.42,LEAVE
zero,64787,74,0,666422,380,3,13,avg,avg,actively_looking_into_it,5.24,STAY
zero,45270,33,20,478224,202,4,5,very_unsat,very_little,perhaps,3.80,STAY
zero,40426,170,0,486624,206,11,12,very_sat,little,considering,3.57,LEAVE
zero,111224,0,19,639534,592,1,6,avg,high,actively_looking_into_it,5.15,STAY
one,44753,31,74,245319,163,5,1,very_unsat,very_high,no,5.19,STAY
one,118926,74,8,327300,404,3,4,avg,little,no,6.62,STAY
zero,114158,62,32,165846,545,1,1,very_sat,little,considering,8.26,LEAVE
zero,120102,0,0,792751,836,1,12,very_unsat,little,considering,4.09,LEAVE
zero,27122,209,9,518257,274,13,6,unsat,very_high,no,5.16,LEAVE
zero,83189,0,41,391797,260,1,2,unsat,high,no,2.90,LEAVE
one,58495,0,0,251787,367,1,15,sat,little,no,4.59,STAY
one,144263,56,10,820076,898,3,5,very_sat,very_little,considering,3.71,LEAVE
zero,76447,228,30,181858,327,24,1,very_unsat,little,considering,3.76,LEAVE
zero,126031,0,30,535620,606,1,1,very_unsat,very_high,considering,6.63,LEAVE
one,42093,223,61,210091,758,14,10,avg,very_high,considering,3.67,LEAVE
one,116248,0,0,240245,877,0,14,very_sat,little,no,3.26,LEAVE
one,120998,25,22,524728,809,5,4,very_unsat,high,considering,5.26,STAY
zero,28015,0,6,486789,221,25,6,very_unsat,very_little,considering,4.19,STAY
zero,32925,63,0,580428,213,5,14,very_unsat,little,never_thought,3.42,STAY
one,42972,58,13,376150,152,3,6,very_unsat,little,considering,4.06,STAY
zero,94239,0,80,621053,309,0,1,very_unsat,little,no,5.74,STAY
one,128259,0,34,541307,627,1,2,very_unsat,very_little,no,6.37,LEAVE
zero,22278,0,5,595051,201,0,6,very_sat,very_high,considering,4.84,STAY
one,119375,81,0,270568,401,4,12,very_unsat,very_high,no,3.26,LEAVE
one,118886,77,50,430666,604,5,2,avg,very_little,actively_looking_into_it,4.17,LEAVE
one,159065,0,5,519407,757,1,6,very_unsat,very_little,considering,4.65,STAY
one,26714,74,75,558183,202,5,2,very_sat,very_high,actively_looking_into_it,6.32,LEAVE
zero,48025,196,84,596826,171,13,2,unsat,little,no,3.49,LEAVE
one,85363,74,0,645643,293,0,12,very_sat,high,considering,3.90,LEAVE
zero,139567,58,0,536325,547,5,14,very_sat,little,considering,5.58,LEAVE
zero,43686,206,10,939959,188,26,13,sat,little,considering,7.10,STAY
one,30832,0,21,708493,218,0,5,very_unsat,very_little,considering,5.62,STAY
zero,82119,46,0,432181,393,4,10,very_unsat,very_high,never_thought,2.90,LEAVE
zero,44065,207,10,454292,231,0,4,very_sat,very_high,never_thought,3.21,LEAVE
zero,128718,60,0,223283,819,4,15,unsat,very_little,considering,2.28,STAY
zero,71566,0,0,157650,293,1,9,very_unsat,high,actively_looking_into_it,3.03,LEAVE
zero,46369,188,83,695551,232,1,2,very_unsat,very_high,no,6.77,STAY
zero,45413,58,0,997262,205,3,13,unsat,very_high,considering,6.60,STAY
zero,41206,54,0,486372,216,3,8,very_unsat,very_high,considering,4.12,STAY
zero,79624,219,72,406259,347,19,2,very_unsat,little,actively_looking_into_it,4.45,LEAVE
zero,68771,65,40,851097,327,5,2,very_unsat,little,no,5.71,STAY
zero,47964,80,0,331317,174,5,1,very_unsat,little,perhaps,4.60,LEAVE
one,112513,86,0,713511,489,5,13,very_sat,little,never_thought,4.83,STAY
zero,113327,177,36,257074,712,18,1,unsat,very_little,considering,4.15,LEAVE
zero,23913,182,77,305797,171,29,1,very_unsat,very_high,no,2.99,LEAVE
zero,158089,73,57,290998,743,3,2,avg,little,considering,7.38,LEAVE
one,32063,0,68,938480,178,1,2,very_sat,very_high,considering,5.97,STAY
zero,42244,0,13,453550,215,16,6,very_unsat,high,perhaps,3.08,LEAVE
one,36416,37,27,265655,199,3,1,unsat,very_little,considering,5.14,LEAVE
zero,132294,74,0,738943,513,5,14,unsat,little,no,3.35,LEAVE
one,35939,39,23,780226,185,0,5,very_unsat,very_little,no,5.86,LEAVE
one,119202,71,0,931185,226,4,11,very_unsat,very_little,no,4.23,LEAVE
one,29727,37,0,437141,762,3,12,very_sat,high,considering,4.64,LEAVE
zero,65676,92,13,401616,204,1,6,very_sat,little,actively_looking_into_it,3.19,LEAVE
one,147998,0,21,162852,744,1,6,very_sat,very_high,considering,4.62,STAY
one,48906,254,37,358217,154,19,2,unsat,very_little,never_thought,6.56,STAY
one,153132,39,87,915353,866,3,5,very_unsat,very_little,never_thought,6.41,LEAVE
one,94810,0,9,555460,251,0,5,very_unsat,little,considering,3.89,STAY
one,126818,60,18,447739,216,19,6,very_unsat,little,considering,1.60,LEAVE
zero,26734,177,7,725398,231,29,2,sat,high,actively_looking_into_it,5.76,STAY
one,143946,0,46,444404,443,1,6,very_sat,very_high,perhaps,6.69,LEAVE
one,26541,193,0,533418,221,26,15,very_sat,little,considering,3.08,LEAVE
one,77337,39,0,247849,380,5,10,very_unsat,little,actively_looking_into_it,3.14,STAY
zero,95922,41,57,309969,284,4,2,very_sat,very_high,considering,5.96,LEAVE
zero,133898,0,64,189128,728,0,2,unsat,very_little,never_thought,5.86,STAY
one,71040,158,85,658109,152,29,1,very_sat,little,no,4.92,STAY
one,79535,90,10,516245,280,4,6,very_unsat,very_little,actively_looking_into_it,3.94,STAY
one,93266,176,6,359776,349,20,1,unsat,very_high,considering,2.54,LEAVE
one,79745,185,0,542029,257,28,11,sat,very_high,no,2.40,LEAVE
zero,80175,66,77,317078,294,5,2,very_unsat,very_little,considering,6.66,LEAVE
zero,104059,0,8,154100,603,0,5,very_unsat,little,no,3.96,STAY
zero,40787,70,70,859883,237,5,1,very_sat,little,considering,6.52,STAY
zero,122868,84,21,532230,787,4,6,very_unsat,little,never_thought,3.94,LEAVE
zero,93149,86,71,538838,315,18,1,very_sat,very_high,considering,4.75,STAY
one,68233,229,65,165177,377,21,1,avg,very_high,considering,1.94,LEAVE
one,26624,59,0,529949,211,4,1,avg,little,no,3.27,STAY
one,65766,88,14,508613,368,12,5,very_unsat,little,no,3.46,STAY
zero,37275,35,0,615129,314,3,11,very_sat,little,considering,6.81,STAY
one,59592,57,44,567730,393,3,2,unsat,very_high,considering,7.60,LEAVE
zero,47740,73,0,531306,240,5,8,unsat,very_little,no,5.20,STAY
zero,44011,191,45,162532,243,27,1,very_unsat,avg,no,3.87,LEAVE
zero,30662,65,49,999933,177,3,2,very_sat,very_little,considering,4.37,LEAVE
zero,41958,80,36,251384,246,1,2,very_unsat,avg,considering,4.30,STAY
one,53296,0,41,574136,341,1,2,very_sat,little,actively_looking_into_it,6.82,STAY
one,138286,0,43,928144,486,0,1,very_sat,very_high,considering,5.55,STAY
zero,77973,80,43,667194,379,5,1,avg,little,considering,5.13,STAY
one,80672,198,12,252902,320,5,5,very_sat,very_high,actively_looking_into_it,4.60,LEAVE
one,144171,67,12,392594,154,3,4,avg,very_little,considering,4.82,STAY
one,83306,157,0,279239,382,13,6,unsat,very_little,no,3.05,LEAVE
one,88886,33,13,405497,386,3,5,very_sat,little,actively_looking_into_it,4.40,STAY
one,142091,202,56,182664,799,18,2,avg,very_high,actively_looking_into_it,1.08,LEAVE
one,33465,0,12,355415,233,0,5,unsat,very_little,considering,4.15,STAY
one,130106,0,14,490202,468,0,4,unsat,little,considering,4.35,STAY
one,32800,222,0,864601,229,24,9,unsat,very_little,actively_looking_into_it,6.68,STAY
one,53348,62,65,535094,264,4,2,sat,very_little,considering,5.30,LEAVE
one,118044,0,28,369676,490,14,1,very_sat,little,considering,6.83,LEAVE
one,50037,77,12,158559,384,5,5,very_sat,very_high,no,4.73,STAY
zero,43683,87,0,478282,199,5,5,avg,very_high,never_thought,5.80,STAY
one,43761,0,23,967658,242,0,6,very_sat,little,considering,5.24,STAY
zero,130640,45,56,484032,890,0,1,very_unsat,very_little,considering,6.27,LEAVE
zero,132744,229,15,280887,850,25,5,very_unsat,very_high,actively_looking_into_it,3.40,LEAVE
zero,62608,0,5,982238,316,1,5,sat,very_little,considering,5.24,LEAVE
one,143136,0,25,833053,490,3,1,very_unsat,little,actively_looking_into_it,5.35,LEAVE
zero,66933,206,29,876587,352,0,2,very_sat,very_little,considering,7.96,STAY
zero,153177,187,0,219690,451,20,15,very_unsat,very_high,no,3.93,LEAVE
zero,89057,0,0,419253,321,1,13,very_unsat,very_high,actively_looking_into_it,3.57,STAY
zero,76923,0,18,947281,318,0,4,unsat,very_high,considering,6.07,LEAVE
one,93521,64,17,779708,302,4,4,very_unsat,very_little,never_thought,5.10,STAY
one,141159,65,52,248153,699,3,1,very_sat,very_high,no,6.38,LEAVE
zero,99883,221,51,455121,355,28,2,very_sat,very_high,considering,3.14,STAY
one,32422,46,74,150068,157,3,2,avg,high,considering,5.01,LEAVE
zero,27258,0,0,972787,179,1,15,sat,very_little,actively_looking_into_it,5.44,LEAVE
zero,144573,231,11,246454,668,28,4,very_unsat,little,considering,2.48,LEAVE
zero,85639,66,0,339255,362,5,12,very_sat,very_little,considering,5.34,STAY
one,88940,208,17,166543,275,25,4,very_unsat,avg,no,5.38,LEAVE
